Gene name	Number of transposons per gene	Number of reads per gene
MED4	8	50
HEM15	23	212
LAS17	4	5
TOA1	3	2
YOR203W	1	0
DED1	15	67
NOC2	20	172
RET1	41	204
RPB10	2	1
RFC1	20	142
YOR218C	0	0
RPB8	7	34
WTM2	13	115
MGE1	7	15
KIN4	26	284
DFR1	18	226
ESA1	13	225
APC5	8	29
CLP1	14	71
SEC63	17	107
TRE2	22	117
CDC31	0	0
RPT4	18	138
GCD1	23	161
RPN8	6	6
GPN2	14	71
FSF1	4	9
YTM1	3	17
HEM4	10	77
PLP2	3	3
YOR282W	3	4
RRP36	5	4
RRS1	4	9
NOP58	11	24
HSH49	3	2
MYO2	43	323
SCD5	18	140
ALA1	40	297
KRE5	51	317
RPA43	8	47
RPA190	33	232
SOG2	28	295
PRT1	23	248
PRE10	4	6
MRS6	20	144
NDD1	8	32
NUD1	26	177
TFC8	8	133
RET3	3	11
TAF3	17	109
RRP12	37	315
SWI1	29	177
ULP1	8	46
ERG10	8	23
NOP4	22	111
TIM50	17	126
GCR1	19	126
GPI2	7	22
MOT1	72	662
SEN54	8	39
SEC16	50	356
NOG1	27	291
SEC62	20	173
IDI1	24	174
TFB2	14	46
SPC29	7	40
NAN1	24	130
TBF1	12	35
RPL5	6	21
GIP3	32	242
YPL142C	1	0
RPL33A	6	38
NOP53	8	13
PRP46	21	271
RAD53	26	156
CDC60	32	319
MEX67	21	168
SPT14	25	228
NAB3	24	194
TPK2	16	127
HRR25	24	226
TYW1	20	140
IPL1	3	7
SRP72	13	39
NIP7	9	72
BMS1	31	313
SAR1	7	33
CET1	14	45
FAS2	41	452
NSL1	9	58
RVB2	24	214
SUI3	3	3
YPL238C	0	0
IQG1	37	343
SRP68	7	9
YPL251W	0	0
YAH1	4	7
BBP1	13	95
DIM1	12	50
RPA135	39	566
TIF6	2	1
MCM4	34	246
CCL1	12	34
HTS1	18	122
ARP7	13	116
GLN1	26	199
TIP41	13	76
TIF5	14	86
TAH18	15	62
SEC8	30	214
TFB4	15	95
DIB1	13	85
ASA1	6	6
SUA7	13	78
SRP54	13	71
RDS3	5	24
PRE2	16	121
FHL1	16	79
COG4	21	131
YTH1	12	111
RPN7	9	54
RPC40	14	119
DBF20	16	159
MRD1	24	218
PIS1	14	105
CLB5	11	32
CTR1	22	208
YLH47	13	95
SPN1	6	27
YPR136C	5	11
RRP9	14	87
YPR142C	6	17
RRP15	6	16
NOC4	18	123
SGV1	18	117
ORC4	12	56
RHO1	3	3
NUT2	3	9
JIP5	25	210
DPB2	23	143
BET2	8	33
YPR177C	10	83
PRP4	41	518
AOS1	5	7
SEC23	24	223
SMX3	0	0
DPM1	13	192
PZF1	10	43
RPO26	13	101
RPC82	21	143
